block_number,tx_hash,log_index,user,amount_raw,amount_tokens
40762251,0xf5b8f26a9ae2cbb1db0f4c8ab68b30ab40a18a8ceac0f8f5475f64467cd74ac5,194,0x71e37f48a87354462a0fc600086f05de088fd6ed,7071,0.007071
40765234,0x5a904af21ee7efe0b00b2f9376da4aced6f1f4650284e65f782beb73751d3d3c,281,0x01610139f055d560d81e6478a82c102b652eea3e,28655586,28.655586
40765981,0x0055b8c20fa7903e544b33400c1b0aabe0fb581f26eb7512ad1298feb20115ed,549,0xaaafeb4c3973d9bb2b354ca3298e19f840f4f3cf,0,0.0
40768027,0x6a93f44964c5ef81ec86569213158b2fbbdcd8088ea90f8bff33993173ddaad8,119,0x6eaf0b9b37c2819838d29c89f0ac115752039e5e,0,0.0
40768508,0xf0874f277c412e2e04c66965426059fa0c861c95219ba55642d4590a6392eb55,437,0xe516a67ee3ef6090b9980a86fb1cde200e05e6f5,3132,0.003132
40774443,0x4882f236ddeb7dc28547e9baa851703d0197033a6a571faac11704cd632e4861,993,0xb85879a3d3841823b9894d7b90aa07fd9be65bce,4145873,4.145873
40774967,0x1a8a1f078b6dfad83e3b0734cfcb3aba0c78b53603488647a312620133e04977,683,0xc01e9a41004bfe0611d79ff6ccf554bbbb3b044e,4844565,4.844565
40776017,0xf0972fbf5bc954173660c36e4c09b0a50a3292855e3bfe6b009e63d9693a2945,768,0xe19ba79faa2171f176d016223d504183a279026b,403819,0.403819
40777158,0x9f22d1fc37ae114f7afb91e7570236e1d14e7295045ce5fcd2040a1ddbec249d,594,0xf8587ec80ede1b55ce44e565b96215327894d138,13607656,13.607656
40777407,0x53ec6e9b161be1dbf3ab0b9c7ac604b3c9a2ac364b1c8912722433bdee3a243f,751,0xd0876a371ff119610f14535df56c6b6a2a026f05,5,5e-06
40778459,0x0c2dd3b9ba16e451348d34adbb730fdc75040dce933f0ca3f803c356d7a24fe4,630,0x19d8392d43ade4a34dab708d4615b7371de521fc,5264320,5.26432
40779952,0x0c442d4c8851cdb1ee5c147ade383d97ee0ed89c6d13226c1616e8a5d99f25e9,514,0xef8f3ffe2d66a2c7b82825c593eccba35d146520,23692,0.023692
40781170,0x1d0a3cc01dffe564cd4ff951edb188e676caf8ca814f7089910764c177efffc8,492,0xeeecdf9946583e1624244df5fc399121dfb4604e,858263,0.858263
40782826,0xbfd1e2feeef0ff4f3b5a7a71d0b21aff3d3f896d9d6f79b4a2e224b2ee14d138,145,0x166247c91235e90b8514605dd73c0157b93d571b,91742538,91.742538
40783439,0xaf72a48e9dee664b1aad58f78780a6c2d3d1ba7112abf228571388f3ea7baa37,259,0xf672715f2ba85794659a7150e8c21f8d157bfe1d,21000,0.021
